,Date,ACB,MWG,MSN,BID,VRE,POW,PLX,HPG,VNM,VHM,TCB,HDB,VIB,VCB,VJC
187,2020-10-02,12300,33530,43810,28060,27300,10111,46720,14850,93230,55960,22550,10290,9790.0,54640,104900
188,2020-10-05,12610,33530,45350,27890,27400,10398,46350,15210,92620,56040,22550,10330,10130.0,54320,104800
189,2020-10-06,12830,33920,46970,27920,27500,10254,46350,15710,92360,56110,22400,10290,11230.0,54580,104500
190,2020-10-07,12500,34700,50130,27920,27800,10064,46080,15460,93230,56630,21800,10290,11160.0,55290,104000
191,2020-10-08,12400,35310,51750,27890,27650,10016,45980,15630,92270,56480,21350,10200,10980.0,55160,104000
192,2020-10-09,12560,35140,55140,27850,27650,10064,45940,15850,92100,56780,21350,10200,10980.0,55160,104400
193,2020-10-12,12450,34660,56850,28270,27100,9873,45570,15710,92360,57140,21200,10140,10900.0,55880,105000
194,2020-10-13,12500,34240,60570,28470,27200,9777,45570,15570,92450,57590,21400,9990,10620.0,56270,105000
195,2020-10-14,12830,35140,64780,29610,27350,9730,45700,15760,92690,57880,22850,10100,10520.0,57380,104600
196,2020-10-15,13100,35270,65680,29160,27600,9682,45980,16149,92780,57140,22850,10230,10680.0,57640,106000
197,2020-10-16,13200,34950,64780,29130,27500,9825,46120,16180,92690,56780,22650,10330,11050.0,57380,105000
198,2020-10-19,13520,34910,66400,28920,27350,9682,45570,16070,92950,56110,23000,10300,11260.0,56920,104500
199,2020-10-20,13520,34910,67780,28990,27450,9730,45330,16320,91660,56190,23900,10540,11190.0,57050,104500
200,2020-10-21,13470,34590,67780,29230,27900,9682,45150,16180,91840,56330,23750,10540,11190.0,56070,103900
201,2020-10-22,13680,35480,68830,29650,28100,9873,45620,16460,92100,57140,23950,10510,11090.0,56330,105000
202,2020-10-23,13680,35960,69650,29540,28350,9825,45700,17180,94950,58620,24000,10590,11190.0,56920,105300
203,2020-10-26,13260,35960,71190,28300,27750,9634,46170,17130,95370,57880,23350,10410,11090.0,55940,104500
204,2020-10-27,13040,35960,71190,28090,27000,9453,45620,17460,94600,57220,23300,10220,10950.0,55940,104500
205,2020-10-28,12720,34330,69650,27130,25500,9234,43860,16900,92690,55740,22400,9570,10900.0,54770,104000
206,2020-10-29,12770,33450,68030,26680,25600,9148,44510,17020,92270,56190,21800,9830,10950.0,54380,102300
207,2020-10-30,12880,34230,68030,26570,25300,8967,45240,16990,93230,56040,21350,10070,,53990,101200
208,2020-11-02,13100,34790,68430,26850,25500,9062,44640,17020,92870,55960,21400,10160,,55810,104900
209,2020-11-03,13370,35050,68030,27200,25550,9253,44590,17070,92950,55890,22000,10140,,55290,105500
210,2020-11-04,13630,34910,68190,27440,25950,9386,45060,17040,93230,55960,22150,10500,,55290,105500
211,2020-11-05,13310,34910,71190,26950,26100,9320,44970,16820,93900,55820,21800,10500,,55290,105700
212,2020-11-06,13420,34330,72800,26950,25600,9329,44590,16900,93900,55820,21600,10450,,55290,105700
213,2020-11-09,13570,34560,77420,27090,26100,9587,44780,17520,93900,57510,22050,10590,,55620,106000
214,2020-11-10,13520,34660,77260,27200,26700,9539,45100,17400,92780,57070,22100,10620,10950.0,55360,113400
215,2020-11-11,13570,35310,77260,27200,26500,9444,45100,17400,92780,56480,22000,10740,10920.0,55230,113800
216,2020-11-12,14110,36320,75400,27330,27200,9501,44880,17490,92360,56920,22300,10780,10970.0,56200,112700
217,2020-11-13,14160,36320,72960,27820,27200,9539,45060,17770,92690,57730,23000,10770,11000.0,56530,112700
218,2020-11-16,14000,35870,67940,27540,26850,9348,44460,17930,92450,56480,22900,10500,10970.0,55810,111200
219,2020-11-17,14530,36620,68830,27820,27200,9491,44690,18540,92870,57730,23350,10700,10980.0,56980,113000
220,2020-11-18,14530,36160,67140,27640,27500,9570,44690,19240,94430,57000,23350,10680,11000.0,56980,113500
221,2020-11-19,14530,36620,66400,27890,27900,9688,46810,19570,94690,57140,23400,10590,11340.0,58680,113700
222,2020-11-20,14590,36220,66400,28440,27650,9718,46720,19850,95720,57880,23400,10740,11300.0,60170,118900
223,2020-11-23,14590,37010,67290,28370,27700,9786,46810,20850,95460,59430,23600,10710,11200.0,59590,118900
224,2020-11-24,14590,36620,66400,28090,27950,9737,46350,20850,94600,61790,23650,10630,11200.0,60110,118000
225,2020-11-25,14590,36620,66650,28510,28250,9698,46540,19800,95370,61570,23600,10570,11230.0,60820,119000
226,2020-11-26,14640,36880,67780,29400,27900,9718,47460,19520,94860,60980,23600,10620,11230.0,61150,120100
227,2020-11-27,14530,37770,67780,29300,27750,10081,47360,20160,94770,61200,23700,11330,11230.0,61470,119000
228,2020-11-30,14530,37930,66400,28780,28200,9934,46900,19740,93390,60910,24100,11630,11060.0,60500,117500
229,2020-12-01,14590,37930,67220,28780,28250,9934,46720,19800,94690,61420,24500,11780,11830.0,59850,118000
230,2020-12-09,15260,37600,69160,30230,28400,11213,48290,21410,94690,62670,25750,11970,12910.0,62770,120000
231,2020-12-10,14940,37200,67940,30340,28200,11114,47640,20910,96670,61640,25300,11760,12700.0,63230,119800
232,2020-12-11,15070,37370,68430,31610,28600,11459,48940,21570,97190,62670,25650,11760,12870.0,63230,122200
233,2020-12-14,15070,37830,68430,32100,30000,11704,50320,21830,97880,64150,26200,11810,12760.0,64989,127000
234,2020-12-15,14960,37700,68430,31820,30100,11459,49760,21460,95980,63410,26150,11760,12800.0,63620,125000
235,2020-12-16,15090,37770,68430,32720,30500,11508,49590,21570,96330,63560,27950,11830,13000.0,64989,128100
236,2020-12-17,15130,37110,68840,32030,29750,11655,48290,20940,95290,62450,28350,12020,13140.0,62450,124600
237,2020-12-18,15180,37600,68920,32439,30150,11803,49670,21460,95290,62900,29200,12510,13310.0,64340,125000
238,2020-12-21,15470,38000,68670,32750,30400,11803,49860,21440,95810,64220,29400,13170,13530.0,64860,125800
239,2020-12-22,15360,39200,67860,32340,30300,12000,49120,21880,94860,64080,29200,12990,13410.0,64200,123600
240,2020-12-23,15020,38610,67860,32159,30600,12196,49030,22240,95120,64440,28700,12680,13130.0,63940,122600
241,2020-12-24,14590,38150,67770,31410,29950,11901,48660,22210,93820,63630,27950,12250,12870.0,63810,123000
242,2020-12-25,14940,38750,67610,32159,30450,12098,49030,22660,94080,64590,29550,12680,13140.0,64010,125900
243,2020-12-28,14860,38350,67530,32750,30450,12934,50600,23100,93820,64670,29700,12600,13130.0,64269,124900
